product_id,full_price,discounted,current_price,product_url,description,ratings,reviews
DJ6258-002,70,False,70.0,https://www.nike.com/t/tanjun-mens-shoes-jQ3z1W/DJ6258-002,"Forget the hype. The Nike Tanjun brings you simplicity at its best. Made with at least 20% recycled content by weight, no detail is overlooked on this one. Lightweight. Airy. Comfortable. This shoe is all you need.Shown: Wolf Grey/Barely Volt/Black/WhiteStyle: DJ6258-002",4.4 Stars,129
DQ0285-111,75,False,75.0,https://www.nike.com/t/air-max-systm-little-kids-shoes-bpKSzc/DQ0285-111,"Cassette mixtapes, music videos and mall arcades—the '80s had it all. We’re celebrating that gnarly era with the Nike Air Max SYSTM. From the big and bold Air unit in the heel to design lines inspired by our favorite throwback Air Max shoes, these kicks are all about bringing back what’s cool and introducing it to a new generation.Shown: Summit White/White/Pure Platinum/Cobalt BlissStyle: DQ0285-111",4.6 Stars,103
DJ7884-006,140,False,140.0,https://www.nike.com/t/structure-25-womens-road-running-shoes-qpkKMs/DJ7884-006,"Supportive cushioning provides steadiness for everyday runs. Experience a stable platform without sacrificing performance with a combination of Cushlon 3.0 foam and a Zoom Air unit. Plus, a higher stack height makes it more comfortable, stable, and supportive than ever.Shown: Black/Daybreak/Lilac Bloom/WhiteStyle: DJ7884-006",4.4 Stars,73
DX7616-004,47,False,47.0,https://www.nike.com/t/star-runner-4-baby-toddler-shoes-7XNnfN/DX7616-004,"Get out the door in a flash with the Star Runner. Loops on the tongue and heel make it easy to open the shoe up wide so little star runners can step in and get going. Soft cushioning in the midsole provides a comfortable, springy feel so 1 more round, lap and turn is always an option. The tread grabs at pavement, grass and gravel to give them extra grip while a rubber-wrapped toe toughens up the construction so they can go further in the same pair of Star Runners.Shown: Black/Summit White/Green Strike/Racer BlueStyle: DX7616-004",4.5 Stars,43
DM8974-401,170,False,170.0,https://www.nike.com/t/zoom-fly-5-womens-road-running-shoes-ShXjdb/DM8974-401,"Bridge the gap between your weekend training run and race day in a durable design that can be deployed not just at the starting line of your favorite race, but in the days and months after your conquest. It offers comfort and reliability but with a propulsive sensation that’ll help you feel fast and fresh. That kind of versatility is uncommon in the running arena. But who said you can’t have it all?Shown: Glacier Blue/Vapor Green/BlackStyle: DM8974-401",4.4 Stars,192
DQ0284-114,85,False,85.0,https://www.nike.com/t/air-max-systm-big-kids-shoes-jh1PDw/DQ0284-114,"Cassette mixtapes, music videos and mall arcades—the '80s had it all. We’re celebrating that gnarly era with the Nike Air Max SYSTM. From the big and bold Air unit in the heel to design lines inspired by our favorite throwback Air Max shoes, these kicks are all about bringing back what’s cool and introducing it to a new generation.Shown: White/Phantom/Photon Dust/Total OrangeStyle: DQ0284-114",4.8 Stars,185
FJ2557-001,60,False,60.0,https://www.nike.com/t/phantom-gx-2-club-mg-low-top-soccer-cleats-1x5QGf/FJ2557-001,"Whether you’re starting out or just playing for fun, Club cleats get you on the field without compromising on quality. Created with goals in mind, the Phantom GX 2 Club has a grippy texture covering the striking area of the cleat and reliable traction to help guide your unscripted agility.Shown: Black/BlackStyle: FJ2557-001",5 Stars,3
FJ3145-002,160,False,160.0,https://www.nike.com/t/air-max-dn-womens-shoes-dFBSQh/FJ3145-002,"Say hello to the next generation of Air technology. The Air Max Dn features our Dynamic Air unit system of dual-pressure tubes, creating a reactive sensation with every step. This results in a futuristic design that’s comfortable enough to wear from day to night. Go ahead—Feel the Unreal.Shown: Black/Cool Grey/Pure Platinum/WhiteStyle: FJ3145-002",4.7 Stars,38
DZ6895-003,67,False,67.0,https://www.nike.com/t/roshe-2-g-jr-little-big-kids-golf-shoes-n5C8DG/DZ6895-003,"There's lots of reasons to get excited about your next tee time or practicing your game at the range. The Nike Roshe 2 golf shoes give you another reason to get hyped. They're super breathable so your feet stay cool and comfy under the hot sun. Plus, the rubber sole digs into the grass (without needing spikes) and brings the traction everywhere from the fairway to the rough and concrete cart paths.Shown: Sea Glass/Black/White/Stadium GreenStyle: DZ6895-003",4.9 Stars,7
DD9472-040,100,True,75.97,https://www.nike.com/t/phantom-gx-academy-multi-ground-high-top-soccer-cleats-fg6cTd/DD9472-040,"Looking to take your game to the next level? Academy cleats give you the precision touch you need to let your innermost playing instincts dazzle. Featuring NikeSkin and a mesh touch zone to help enhance your precision and an agility plate that’s designed to swerve and sprint with you, it’s ready to ignite your spontaneous playmaking spirit. This version has a Dynamic Fit collar, which wraps your ankle in soft, stretchy fabric for a secure feel.﻿Shown: Black/Hyper Royal/ChromeStyle: DD9472-040",4.6 Stars,71
