product_id,full_price,discounted,current_price,product_url,description,ratings,reviews
FQ6642-100,195,False,195.0,https://www.nike.com/t/jordan-adg-5-golf-shoes-BPdcX2/FQ6642-100,"The best find ways to improve. Hit the range for another bucket of balls. Push putts across the shaggy carpet or scoot something soft across the hardwood. The Jordan ADG 5 went back in the lab and came back better. Now there’s more room in the forefoot and better traction all over the outsole. Plus, we added super comfy Formula 23 foam, all with a fresh look.Shown: White/Emerald Rise/Grape IceStyle: FQ6642-100",0 Stars,0.0
DJ5590-103,200,False,200.0,https://www.nike.com/t/air-zoom-infinity-tour-next-boa-mens-golf-shoes-wide-LxFSGW/DJ5590-103,"We listened to the feedback you had on the Infinity Tour, refined it and brought it to life on the Nike Air Zoom Infinity Tour NEXT% Boa. We increased the overall volume to give your foot more room, put an extra-large Zoom Air unit in the forefoot for even more energy transfer through your swing, and we added more traction in key areas to reduce slipping. The result is an incredibly responsive, comfortable shoe that we know you're going to love.Shown: White/Photo Blue/BlackStyle: DJ5590-103",4.5 Stars,2.0
DX9043-004,50,True,43.97,https://www.nike.com/t/tanjun-easyon-baby-toddler-shoes-Lpnk7T/DX9043-004,"Made for kids (and their squirmy feet), these Air Max Shoes have an easy-on system that makes putting them on a breeze. The laces are just for show—the entire lace area lifts up, making a large slip-in space, so getting their shoes on doesn’t have to be a struggle.Shown: Black/Persian Violet/White/Stadium GreenStyle: DX9043-004",4.7 Stars,38.0
FJ1679-400,85,False,85.0,https://www.nike.com/t/sb-zoom-blazer-low-pro-gt-skate-shoes-XfFG5r/FJ1679-400,"Created using insights from Grant Taylor, the Nike SB Zoom Blazer Low Pro GT is a fresh take on a favorite skate shoe. The updated design mixes suede, canvas and higher taping for even more durability.Shown: University Blue/University Blue/Summit White/BicoastalStyle: FJ1679-400",0 Stars,0.0
DJ4487-121,200,False,200.0,https://www.nike.com/t/romaleos-4-se-weightlifting-shoe-r7zff9/DJ4487-121,"Intensely strong and stable, the Nike Romaleos 4 SE features a wide, flat base and a supportive foundation for your toughest lifts. Adjustable straps wrap your foot up tightly to keep you locked in and ready to go—from the gym to the world stage.Shown: White/Bright Crimson/Pink Blast/BlackStyle: DJ4487-121",3.9 Stars,9.0
DV0833-105,115,False,115.0,https://www.nike.com/t/dunk-low-retro-mens-shoes-21nLMl/DV0833-105,"Recognizing the Dunk's roots as the top-ranking college team sneaker, the ""Be True To Your School"" pack looks to the original ad campaign for inspiration. Colors represent top-flight universities, while crisp leather has the perfect amount of sheen to make 'em a hands-down win. So lace up and show off that varsity spirit. Ya game?Shown: White/Pacific MossStyle: DV0833-105",4.9 Stars,337.0
DZ5961-100,140,True,89.97,https://www.nike.com/t/pegasus-40-tcu-mens-road-running-shoes-TCbSvW/DZ5961-100,"A springy ride for any run, the Peg’s familiar, just-for-you feel returns to help you accomplish your goals. This version has the same responsiveness and neutral support you love, but with improved comfort in those sensitive areas of your foot, like the arch and toes. Whether you’re logging long marathon miles, squeezing in a speed session before the sun goes down or hopping into a spontaneous group jaunt, it’s still the established road runner you can put your faith in, day after day, run after run. This special TCU Peg 40 lets you run and rep your favorite school all at the same time.Shown: White/Black/New OrchidStyle: DZ5961-100",0 Stars,0.0
DJ6566-700,170,False,170.0,https://www.nike.com/t/streakfly-road-racing-shoes-8rTxtR/DJ6566-700,"Our lightest racing shoe, the Nike Streakfly is all about the speed you need to take on the competition in a mile, 5k or 10k race. Low profile with sleek details, it feels like it disappears on your foot to help you better connect with the road on the way to your personal best.Shown: Volt/Bright Crimson/Volt/BlackStyle: DJ6566-700",4.1 Stars,84.0
FV5950-111,105,True,93.97,https://www.nike.com/t/air-force-1-high-le-big-kids-shoes-8KvKcv/FV5950-111,"Past, present and future—it's all here in one shoe. Designed to be comfortable, durable and timeless, the AF1 is a sneaker icon. Classic '80s construction pairs with bold details for nothing-but-net style that scores just as big on the playground as it did on basketball courts. Plush padding around the ankle, Air cushioning and a hook-and-loop closure help keep your look comfy and secure.Shown: White/White/WhiteStyle: FV5950-111",0 Stars,0.0
FJ2580-300,100,False,100.0,https://www.nike.com/t/phantom-luna-2-academy-lv8-tf-high-top-soccer-shoes-Rp62MV/FJ2580-300,"Looking to take your game to the next level? The Phantom Luna 2 Academy helps put you in prime position of the net, whether you're the organizer, assister or finisher. The rest is up to you. Created with goals in mind, NikeSkin covers the striking area of the shoe while Nike Cyclone 360 traction helps guide your unscripted agility.Shown: Green Glow/BlackStyle: FJ2580-300",3 Stars,1.0
FB9923-160,65,False,65.0,https://www.nike.com/t/stay-loyal-3-little-kids-shoes-RHCK7Q/FB9923-160,"It's never too early to step into the Air Jordan legacy. The Stay Loyal 3 takes design cues from the AJ4, so your kid's got built-in style with proven lasting power. And this pair is made with kids in mind: on and off is easy with elastic laces and the hook-and-loop strap.Shown: White/Wolf Grey/Team RedStyle: FB9923-160",5 Stars,6.0
DR9761-500,110,False,110.0,https://www.nike.com/t/tech-hera-womens-shoes-NjvkxR/DR9761-500,"Inspired by early 2000s running, the Tech Hera is here to fulfill all of your chunky sneaker wishes. The wavy lifted midsole and suede accents level up your look while keeping you comfortable. Its durable design holds up beautifully to everyday wear—which is perfect, because you'll definitely want to wear these every day.Shown: Barely Grape/Pale Ivory/Gum Light Brown/WhiteStyle: DR9761-500",4.3 Stars,105.0
FB1396-160,115,False,115.0,https://www.nike.com/t/jordan-stay-loyal-3-mens-shoes-4n9P1r/FB1396-160,"You gotta know where you've been to know where you're going. We took that to heart when creating the Stay Loyal 3, a modern shoe built on the Air Jordan legacy. Inside and out, they're made for versatility, with minimalist looks, cloud-like cushioning and design elements that echo the AJ4. In other words, style with proven lasting power.Shown: White/Wolf Grey/Team RedStyle: FB1396-160",4.5 Stars,53.0
